Negative_Samples,Similarity
1 ,13.4732
2 ,10.3076
3 ,-9.0146
4 ,9.1028
5 ,-11.4826
6 ,9.3774
7 ,13.5175
8 ,6.1346
9 ,-2.1662
10 ,11.1089
