Negative_Samples,Similarity
1 ,-4.2036
2 ,14.8757
3 ,-5.2685
4 ,8.7821
5 ,-1.9452
6 ,6.9095
7 ,1.0511
8 ,3.9573
9 ,-0.3161
10 ,0.6306
